syntax,4096
testdata,4096
cgo,16384
debug,4096
internal,0
msan,0
pprof,4096
race,4096
testdata,0
trace,0
atomic,4096
math,0
sys,8192
internal,0
testdata,0
profile,4096
mappingtest,0
testdata,4096
testprog,4096
testprogcgo,4096
testprognet,0
windows,0
testdata,0
atomic,4096
js,0
internal,0
iotest,0
quick,0
testdeps,0
scanner,0
tabwriter,0
template,4096
parse,0
testdata,0
utf16,0
utf8,0
golang.org,0
x,0
crypto,4096
net,4096
sys,0
text,4096
chacha20poly1305,4096
cryptobyte,0
curve25519,4096
hkdf,0
internal,0
poly1305,4096
asn1,0
chacha20,4096
subtle,0
dns,0
http,0
http2,0
idna,4096
lif,4096
nettest,0
route,4096
dnsmessage,0
httpguts,0
httpproxy,0
hpack,0
cpu,4096
secure,0
transform,0
unicode,0
bidirule,0
bidi,4096
norm,4096
alias3.dir,0
bench,0
chan,4096
closure3.dir,0
codegen,4096
ddd2.dir,0
dwarf,0
fixedbugs,262144
import2.dir,0
import4.dir,0
interface,4096
intrinsic.dir,0
ken,8192
linkname.dir,0
method4.dir,0
oldescape_linkname.dir,0
retjmp.dir,0
runtime,0
stress,0
syntax,4096
uintptrescapes.dir,0
garbage,0
go1,4096
dwarf.dir,4096
bug083.dir,0
bug088.dir,0
bug106.dir,0
bug133.dir,0
bug160.dir,0
bug191.dir,0
bug222.dir,0
bug248.dir,0
bug282.dir,0
bug302.dir,0
bug306.dir,0
bug313.dir,0
bug322.dir,0
bug324.dir,0
bug335.dir,0
bug345.dir,0
bug367.dir,0
bug369.dir,0
bug377.dir,0
bug382.dir,0
bug392.dir,0
bug396.dir,0
bug404.dir,0
bug407.dir,0
bug414.dir,0
bug415.dir,0
bug424.dir,0
bug437.dir,0
bug448.dir,0
bug460.dir,0
bug465.dir,0
bug466.dir,0
bug467.dir,0
bug468.dir,0
bug472.dir,0
bug478.dir,0
bug479.dir,0
bug480.dir,0
bug488.dir,0
bug492.dir,0
bug504.dir,0
bug506.dir,0
gcc67968.dir,0
issue10066.dir,0
issue10219.dir,0
issue10700.dir,0
issue11053.dir,0
issue12677.dir,0
issue13777.dir,0
issue14164.dir,0
issue14331.dir,0
issue15071.dir,0
issue15470.dir,0
issue15514.dir,0
issue15548.dir,0
issue15572.dir,0
issue15609.dir,0
issue15646.dir,0
issue15838.dir,0
issue15920.dir,0
issue16133.dir,0
issue16317.dir,0
issue16616.dir,0
issue18419.dir,0
